fon,fr
Tɔ énɛ́ ní nyí hwi ɖokpónɔ géé tɔn. Ma nú mɛ ɖěvo nu xá we ó.,"Qu’ils soient pour toi seul, et non pour des étrangers avec toi."
É ɖò mɛ kannu,Il est chez un patron.
E vɛ,C'est difficile.
mε ɖokpo nyi 'atrice' ɖo ye mε,l'une d'elles est actrice
Un kó ɖù nŭ vɔ̀ ă,Je suis encore en train de manger.
Un ɖo wiwa yi wε.,Je ne fais que passer
é ɖó nú azɔ̀n,il l'a attribué à la maladie
E ko wa ă,Il n'est pas encore arrivé.
e ɖò é ɖókpɔ́nɔ́,il est seul
E xú galí ɔ́ nú mì,Elle m'a ajouté un supplément de gari.
"Gbɛtɔ́ e ka kú lɛ́ɛ sukpɔ́, ɖó ahwan énɛ́ ɔ́ e yě fun ɔ́, Mawu wɛ fun. Bɔ yě jɛ agban ɖó Hagáa ví lɛ́ɛ sín tɛn mɛ káká wá jɛ hwenu e è wlǐ yě lɔmɔ̌ yi kannumɔgbénu é. Manasée ví e ɖo Judɛ́ɛn tɔ ɔ́ gúdo lɛ́ɛ","car il y eut beaucoup de morts, parce que le combat venait de Dieu. Et ils s'établirent à leur place jusqu'au temps où ils furent emmenés captifs."
bε̆ amăgà,ramasser des mangues par terre
"bɔ kpatágan kpódó siká kpó, kpódó nǔxɔ-akwɛ́ e Dadá ɔ́ kpódó wěɖexámɛtɔ́ tɔn lɛ́ɛ, gǎn hɔn-yitɔ́ tɔn lɛ́ɛ, kpódó Izlayɛ́li ví e ɖo to ɔ́ mɛ lɛ́ɛ kpó ná ɖ'ayǐ nú Mawu mǐtɔn sín xwé ɔ́ lɛ́ɛ ɔ́, un da ɖo nukún yětɔn mɛ.","Je pesai devant eux l'argent, l'or, et les ustensiles, donnés en offrande pour la maison de notre Dieu par le roi, ses conseillers et ses chefs, et par tous ceux d'Israël qu'on avait trouvés."
é hú taga ɛ̀,il est plus grand que lui
bɔd’éwú,tâter
ɖŏ alɔ̀ wŭ,tâter
dŏ alɔ̀ wŭ kpɔ́n,tâter
hὲn kpɔ́n,tâter
Sɔ́ wema enɛ lɛ ɖó vo ganji sɔgbe xá wekwín lɛ cobo sɔ́ dó ganzɛ́n lɛ mɛ.,Triez soigneusement ces dossiers par ordre alphabétique avant de les classer dans les armoires métalliques.
Un gbɛ́ nyɔ̀ nú nɔ cè,J’ai refusé de faire plaisir à ma mère.
kpasatin lε bi ɖo foloo mε,tous les baobabs sont en fleur
"Akwɛzinzan lɛ nɔ xlɛ́ ɖɔ akwɛzinzan ɖò ganji, bɔ enɛ nɔ zɔ́n bɔ mǐ nɔ lin tamɛ dó akwɛzinzan yɔyɔ̌ lɛ jí kpo fífá kpo.","Le bilan comptable fait apparaître une trésorerie saine, ce qui nous autorise à envisager sereinement de nouveaux investissements."
"Un xwe wemaxɔmε Yaounde tɔn, amɔ nɔvi ce xwe wemaxɔmε Côte d'Ivoire tɔn.","Je vais à l'université de yaoundé, mais mon frère va à l'université en Côte d’Ivoire"
Mɛ we wɛ nɔ w'azɔ bo nɔ ɖo nukunnu,Deux personnes exercent une activité génératrice de revenus.
ɖè axì kpɔcɔnu,chercher à obtenir à vil prix
Gbade ganvi,Galette de mais
vi ɔ́ jɛ eké bó cí kɛ́ncɛ́nkɛ́ncɛ́n,l'enfant est chétif et maladif
vi ɖe nyi jiji ɖo gleta,un fils est né au village
paul mɛ ɖe nɔ jean ɖie,paul voici jean
yĕ bĭ hɛ̀n zohwín alɔ nu bo dó ɖò zàn dlɔ́ wɛ̀,ils tiennent chacun en main un flambeau pour la veillée
E víví káká bó tàn,C’est extrêmement bon.
Cɔ́ nukún towe lɛ.,Préservez votre vue.
"Énɛ́ ɔ́, majíkiblótɔ́ lɛ́ɛ ɖɔ nú axɔ́sú ɔ́ ɖɔ: “Hlɔ̌nhlɔ́n Mawu tɔn wɛ ɖo nǔ wa wɛ ɖo fínɛ́.” Axɔ́sú ɔ́ ká lɛ́ tlí tó lě e Mawu Mavɔmavɔ kó ɖɔ gbɔn ɖ'ayǐ é; é wa nǔ e Mɔyízi kpó Aalɔ́ɔn kpó ɖɔ é ǎ.","Et les magiciens dirent à Pharaon: C'est le doigt de Dieu! Le coeur de Pharaon s'endurcit, et il n'écouta point Moïse et Aaron, selon ce que l'Éternel avait dit."
ku do hwemɛ,bon après
bε̆ adăn,tomber malade
bε̆ azɔ̀n,tomber malade
j'azɔ̀n,tomber malade
jὲ azɔ̀n,tomber malade
jὲ lanmὲ,tomber malade
lanmε wá nú mε,tomber malade
"Mi gbɛtɔ́ e ɖo ayǐkúngban ɔ́ jí lɛ́ɛ e mi, mi sú xó sɛ́ dó Mawu Mavɔmavɔ kpódó awǎjijɛ kpó, mi ɖe xomɛhunhun mitɔn xlɛ́, mi ɖɔ xó lómílómí dó mlá nyǐkɔ tɔn dó han mɛ.","Acclame le Seigneur, terre entière ! Eclatez en cris de joie, chantez !"
É ɖò sísɔ́sísɔ́ wɛ ɖó ninɔmɛ e è ma tuùn ǎ é enɛ wu.,Il tremble de peur devant cette situation inconnue.
Fitε a na yi ɖe ?,Où vas-tu ?
Ma zun mi o,Ne m'insulte pas
Ganxixo nabí a na dó fó azɔ̀ ɔ́ ná ?,Combien d’heures mettras-tu pour finir le travail ?
é ɖò gbatɛ sɔ́ wɛ̀,il fait le portefaix
E glɔn gbɔ tɔn lɛ do kpa mɛ,II a enfermé ses cabris dans l'enclos
kpɛn ɔ myá ganjí ă é kpa hlè,la papaye est tout juste mangeable
a kpé nù wú ɖésú,tu t'es acharné pour venir à bout de cette chose
Un ɖó kɛ́n jĭ tɔ̀n,Je l’estime beaucoup.
é kpé tú mɛ,il visa quelqu'un de son fusil
etɛ wutu a xɔ atinsinsɛn ɖokpo,pourquoi as-tu acheté un fruit
Mi nɔ ɖu nu ganji ɖo fi,On mange mal ici .
VAT e è nɔ zán é nyí kanɖé ɖò kanweko jí.,Le taux de TVA applicable est de vingt pour cent.
Un mɔ ɖɔ un ɖò ganji bɔ hlɔnhlɔn gɔ́ ayi mɛ nú mì égbé.,Je me sens incroyablement bien et plein d'énergie aujourd'hui.
E ɖi ga nu mεtlu ko.,Il est long de vingt mètres
E nɔ ɖi zɔnlin dεdε kpodo kpogε tɔn kpo.,Il marchait lentement appuyé sur son bâton
"Nǔ taji e è nɔ zán dó jlɛ́ lee tɛn ɛntɛnɛti tɔn e jí è nɔ sà nǔ ɖè é ɖé nɔ w’azɔ̌ gbɔn é, bo nɔ lɛ́ tuùn nǔ e nɔ ɖó dogbó nú nǔxixa lɛ é é wɛ nyí lee è nɔ huzu mɛ gbɔn é.",Le taux de conversion est un indicateur clé pour mesurer l’efficacité d’un site marchand et identifier les freins à l’achat.
nyɛ nɔ w'azɔ́ ɖo posu,moi je travaille à la poste
xwegbe,maison
"Un jló ná ɖyɔ nǔ élɔ́, kɛnklɛ́n.","Je voudrais échanger ce produit, s’il vous plaît."
É víví nú mì ɖɔ un lɛ́ mɔ we.,Je suis content de te revoir.
un sìxú kpɔ́n mɛ́ nú wè ă,je ne peux rien pour toi
a ná sìxú wá kpɔ́n tɛn mɛ nú mí ɖò kplé ɔ́ mɛ́ à,pourras
"A nǎ sixú sɔ́ nǔ i káká bɔ é ná tɔ́n a? Hwǎn e è nɔ dó wlí hweví ɔ́, a nǎ sixú nɔ zě sɔ́ ta tɔn káká bɔ é ná xo zlɛ́ a?","Couvriras-tu sa peau de dards, Et sa tête de harpons ?"
A na ba wemasunsunnu ɔ bo na mɔ.,Tu cherches la gomme et tu la trouves
e vò sɔ̀ mɔ̆ ă,elle ne sont pas tellement à l'aise
"awě ɖěbǔ ná xo we ǎ, nǔ nyanya ɖěbǔ ná sɛkpɔ́ goxɔ towe ǎ,","Aucun malheur ne t’arrivera, aucun fléau n’approchera de ta tente."
Măwù nà cɔ́ wè,Dieu veillera sur toi.
Yě gosín Mala bo wá Elimu. Tɔjɔtɛn wěwe kpó dětín kanɖé gban (70) kpó wɛ ɖo Elimu fínɛ́; fínɛ́ wɛ yě ɖó gɔnu ɖó.,"Ils partirent de Mara, et arrivèrent à Élim; il y avait à Élim douze sources d'eau et soixante-dix palmiers : ce fut là qu'ils campèrent."
Dò ɔ́ mù,Le mur s'est écroulé.
So ny’àwăn,Il tonne.
Un gbɛ́ hà tówé bĭ,Je refuse complètement ta compagnie.
"Ée Izáki ka ɖo to ɔ́ mɛ bɔ é lín ɔ́, é wá ɖo ayihún da xá asi tɔn wɛ gbe ɖokpó, bɔ axɔ́sú Filisitɛ́ɛn lɛ́ɛ tɔn Abimɛlɛ́ki mɔ ɛ gbɔn flɛtɛ́li nu.","Comme son séjour se prolongeait, il arriva qu'Abimélec, roi des Philistins, regardant par la fenêtre, vit Isaac qui plaisantait avec Rebecca, sa femme."
sùn ɖì hwlĕ,la lune est très brillante
Agbaza yetɔn nɔ fɛɖɛ,Leur corps est frêle.
"Hwenu e a ɖò zɔ é ɔ, mɛɖé ylɔ we azɔn mɔkpan, amɔ̌, mɛ ɔ nɔ ɖó alokan ɔ te hweɖebǔnu, bo nɔ jó wɛn ɖé dó ǎ.","Pendant que tu étais absent, quelqu'un a téléphoné à plusieurs reprises, mais la personne a raccroché chaque fois sans laisser le moindre message."
Bo un gbo do hun yi azomε.,Alors je suis allée à l'école en bus.
zàntá ɖò ɖuɖu mi wɛ̀,j'ai le mal de tête de la nuit
Gbɔjɛ syɛnsyɛn bo na dó fá xomɛ.,Respire profondément pour te calmer.
"É gbà gŏ cè, bɔ̀ un byɔ́ xɔ ɔ é ɔ́, é húzú mɛglɛnzín","Il a cassé mon ampoule et quand je suis rentré dans la maison, il se présentait comme innocent dans l’affaire."
Xá gbɔ̀n fí,Tourne par ici.
agɔntín,rônier
E jɛ̀ kú ɖɔ̀ émí ná yí jɛ́n wɛ̀,Il s'entête à vouloir partir.
"Avɔ e è nǎ dó ɖó kɔ́xota ɔ́ sín gblǒ jí, ɖo goxɔ ɔ́ sín gbadahwe jí ɔ́ sín ga ná nyí mɛ̌tlu koatɔ́n (25). Dotín wǒ wú wɛ è nǎ sin avɔ ɔ́ dó, bɔ dotín ɖokpó ɖokpó ná jínjɔ́n afɔ ɖokpó ɖokpó jí. Klɔcée lɛ́ɛ kpó gankpo lɛ́ɛ kpó ɔ́, kpatágan wɛ è dǒ bló yě.","Du côté de l'occident, il y aura pour la largeur du parvis cinquante coudées de toiles, avec dix colonnes et leurs dix bases."
Ɖɔla wewe lo ?,Et soixante Francs (cinq x douze) ?
"Nǔ ɖěbǔ e a ɖɔ ɔ́, un ná húzú gbeta ce ǎ.","Quoi que tu dises, je ne changerai pas d’avis."
Nyɔnu ɖokpo kpodo vi enɛ,Une femme et quatre enfants.
É ní wá!,Qu’il vienne !
"Ayǐkúngban kɛ nu bo mi yě kpó hɛ̌nnu yětɔn lɛ́ɛ kpó, kpó Kolée sín ahwan lɛ́ɛ lɔmɔ̌ kpó, kpódó dɔkun yětɔn lɛ́ɛ bǐ kpó.","La terre ouvrit sa bouche, et les engloutit, eux et leurs maisons, avec tous les gens de Koré et tous leurs biens."
"Vǐ lɛ sín nukiko nɔ ɖi gbè ɖò kɔxota ɔ jí, bo nɔ mɛ́ bo nɔ cí kristalu ɖɔhun ɖò jǐ hwenu sín tɔsisa mɛ.","Les éclats de rire des enfants résonnent dans la cour, purs et cristallins comme une source printanière."
Fi tɛ nya elɔ ka gbɔn ?,Par où cet homme est-il passé ?
tún kàn,se délier
Gan dokpo adaɖe mɛ,A une heure et demi
sɛ cokoto towe dó agà,retrousse ton pantalon
"Lo ɔ́, mɛ e yí wǎn nú mì bó nɔ nyi sɛ́n ce lɛ́ɛ ɔ́, un nɔ nyɔ́ xomɛ dó mɛ ɔ́ wú káká yi jijimɛ afatɔ́n.",et qui fais miséricorde jusqu'en mille générations à ceux qui m'aiment et qui gardent mes commandements.
"Bó zé kpatágan dó bló afɔ yětɔn kanɖé (40) lɛ́ɛ ná, bó xwe we we dó xwlɛ ɖokpó ɖokpó glɔ́.","et leur quarante bases d'argent, deux bases sous chaque planche."
"Kpɔ́n xu, é ɖo faɖaɖa xweyǐgbe, kanlin kpɛví ɖ'é mɛ, kanlin ɖaxó ɖ'é mɛ, è sixú xa yě lɔ ǎ.",Voici la grande et vaste mer : là fourmillent sans nombre des animaux petits et grands ;
"Mɛ e ná bɛ́ nyibú ɔ́ sín afín ɔ́ ná nya avɔ tɔn lɛ́ɛ, bó ká ná nyí mɛ blíblí káká jɛ gbadanu. Sɛ́n ɖé wɛ sɛ́n énɛ́ ɔ́ nyí, bó ná ɖo te káká sɔ́yi nú Izlayɛ́li ví lɛ́ɛ kpó jǒnɔ e ɖo yě mɛ lɛ́ɛ kpó.”","Celui qui aura recueilli la cendre de la vache lavera ses vêtements, et sera impur jusqu'au soir. Ce sera une loi perpétuelle pour les enfants d'Israël et pour l'étranger en séjour au milieu d'eux."
ahɔn tɔn kɛ maà,sa fontanelle est largement ouverte
Un ná yì nùgúdo,Je vais aux cabinets.
Blŏ gbɔ̀n mɔ̆,Fais de même.
un ɖò acɛ tɔn glɔ́,je suis sous ses ordres
"Amɔ̌, hwɛ ɔ́, nú a ba Mawu ɔ́, nú a sa vo nú Nǔbǐwúkpétɔ́ ɔ́,","Mais toi, si tu as recours à Dieu, Si tu implores le Tout Puissant ;"
Un gɔ̀n yɛhwe gbadanu tɔn xà,J’ai omis la prière du soir.
"Ɖo azɔxɔ mε ɔ, Michel nɔ nɔ xwii","En classe, Michel reste tranquille."
"‘Mɛ élɔ́ lɛ́ɛ e gosín Ejípu lɛ́ɛ ɔ́, yě mɛ e ɖó xwe ko lɛ́ɛ kpó yě mɛ e ɖó hú mɔ̌ lɛ́ɛ kpó ɖěbǔ ná mɔ ayǐkúngban e sín akpá un dó nú Ablaxámu, Izáki, kpódó Jakɔ́bu kpó ɔ́ ǎ. Ɖó yě nɔ gbejí nú mì yi kpé ǎ.","Ces hommes qui sont montés d'Égypte, depuis l'âge de vingt ans et au-dessus, ne verront point le pays que j'ai juré de donner à Abraham, à Isaac et à Jacob, car ils n'ont pas suivi pleinement ma voie,"
Akɔjijɛ akɔjijɛ tɔn.,Négociation contractuelle.
Ɔmúli wa nǔ e má nyɔ́ Mawu Mavɔmavɔ nukún mɛ ǎ é. Nǔ nyanya e é wa lɛ́ɛ lɛ́ nylá hú ée mɛ e ɖu axɔ́sú jɛ nukɔn n'i lɛ́ɛ bǐ wa é.,"Omri fit ce qui est mal aux yeux de l'Éternel, et il agit plus mal que tous ceux qui avaient été avant lui."
Un ɖù nŭ vɔ̀,J'ai fini de manger.
yĕ zun ì káká b'ɛ́ gbɔ̀ bo tin,ils l'insultèrent beaucoup et il laissa tomber et ne dit rien
agbaza mɛ tɔ́n cí kpɔ́nnɔ́kpɔ́nnɔ́,son corps est dodu
bà mεmε mε,rechercher la sympathie de quelqu'un
bà mεmε mε wŭ,rechercher la sympathie de quelqu'un
ɛɛn un d'amlɔ kpɛɖe,oui j'ai un peu dormi
zĕ kéɖé,mesurer sans mettre la main en plus
nɛ gbɔn yi,pourquoi est-il parti
Un jro ɖɔ ye ni sa xwe lɔ.,Je veux qu’ils vendent la maison.
E sá adakpɛ́n dó xɔ̀ ɔ́,Il a peint la maison à la chaux.
mɛ nàhún,quelle sorte de personne
Mǐ yí gbè ɖɔ mǐ yí hwɛ e a ɖó é lobo ɖò azɔ̌ wà d’eji wɛ.,Nous accusons réception de votre réclamation et la traitons.
"Sɔ́ afɔ towe bo wá kpɔ́n fí ɖěɖě è gba, bɔ é kpo ɖo mɔ̌ káká jɛ din é. Nǔ e ɖo xwé towe gbe lɛ́ɛ bǐ wɛ kɛntɔ́ hɛn gblé.",Porte tes pas vers ces lieux constamment dévastés ! L'ennemi a tout ravagé dans le sanctuaire.
mi ɖo hɔn ɔ su wɛ,on ferme la porte
"É ɖɔ hwi wá ɔ́, émí ná wlí yɛ̌yi nú hwi ɖésú. Émí ná bló nǔ e hwi ná byɔ́ émí lɛ́ɛ bǐ. Hwi ní kɛnklɛ́n wá dó nu togun ɔ́ nú émí.”","car je te rendrai beaucoup d'honneurs, et je ferai tout ce que tu me diras ; viens, je te prie, maudis-moi ce peuple."
Ayǐkúngban e è nǎ akɔta Nɛfutali tɔn sín hɛ̌nnu lɛ́ɛ ɔ́ nɛ́. Toxo ɖaxó ɖaxó énɛ́ lɛ́ɛ kpó gletoxo e lɛ́ lɛ̌ dó yě lɛ́ɛ kpó ɖo ayǐkúngban énɛ́ ɔ́ jí. Ayǐkúngban e è nǎ akɔta Dan tɔn é,"Tel fut l'héritage de la tribu des fils de Nephthali, selon leurs familles, ces villes-là et leurs villages."
nɔ tɔn tɔ́n,sa mère est sortie
Wă akpá cè,Viens auprès de moi.
gbɛtɔ́ wá kpɔ́ kplɛlɛ̀,beaucoup d'hommes sont venus
fí,endroit
tὲn,endroit
tὲn mὲ,endroit
tεndò,endroit
tεnmὲ,endroit
"Axɔ́sú ɔ́ sín kɔ́fu ka ɖo alɔ ce mɛ, bɔ un gbɛ vǐwun lɛ́ɛ, bó fyɔ́n yě dó kɔ́fu ɔ́ mɛ, lobo zé jó nú axɔ́sú ɔ́.”","La coupe de Pharaon était dans ma main. Je pris les raisins, je les pressai dans la coupe de Pharaon, et je mis la coupe dans la main de Pharaon."
"Atóbɛ,̀ vĭ’sì",Belle fille
Un na yí wǎn nú ɖokpo elɔ.,Je voudrais celui-ci.
mi cɔ miɖé,attention faîtes gaffe
awu ce là,mon costume s'est déchiré
un ko ɖo nu mɔ jεn lε mε wε ganji a,je ne comprends pas encore beaucoup de mots
kpodo awajijɛ kpo,gaiement
awugbó,bouton d’habit
gbŏ,bouton d’habit
akpa tɔn,sa promesse
Un jló na tuùn linlin nugbǒ nugbǒ towe dó sinmɛ e un sɔ́ nú xɔ ce é wu.,Je voudrais connaître votre avis sincère sur la couleur que j'ai choisie pour ma chambre.
Aklúnɔ̀ mĭtɔn ɖu yà bó hwlɛ́n mì gán ɖ’Aklúzu jí,Notre Seigneur a souffert et nous a sauvés sur la Croix.
Yĕ càn kɛkɛ́,Ils se sont heurtés à vélo en se rencontrant.
Sa afintin nú mi,Vends-moi.
"Enyi a nɔ sɔ́ agbazazɔ́ e nɔ hɛn agbaza towe lidǒ lɛ é dó nǔwiwa towe lɛ mɛ ɖò aklunɔzán gbla ɖokpo ɖokpo mɛ ɔ, é nɔ d’alɔ we bɔ a nɔ hɛn agbaza towe ɖó te, bo nɔ lɛ́ hɛn nǔ e ɖò agbaza towe mɛ lɛ é ɖó te.",Intégrer des exercices de renforcement musculaire dans sa routine hebdomadaire aide à préserver sa mobilité et son métabolisme.
"Yě gosín Cɛfɛ́ɛ só ɔ́ kpá, bó ɖó gɔnu ɖó Halada.","Ils partirent de la montagne de Schapher, et campèrent à Harada."
É ɖò yè tɛ́ntín,Il est au milieu d’eux.
bonu gbemε tε fa ɔ glemε zɔ nɔ vε wu,les travaux des champs sont pénibles même s'il fait froid
Xóɖɔɖókpɔ́ e mɛ akpàkpà sɔ́ mɛ ɖè bo lɛ́ ɖó hlɔnhlɔn é ɖé.,Discussion passionnée et animée.
"Jǒnɔ wɛ é nɔ sɔ́ mǐ dó mɔ ná din, ɖó è ko fɔ mǐ sa, bó kó ɖu akwɛ́ tɔn bǐ.","Ne sommes-nous pas regardées par lui comme des étrangères, puisqu'il nous a vendues, et qu'il a mangé notre argent?"
É nɔ́ kɔ́n mlamlà,Cela brille avec éclat.
un lɛ yɛwhesin ɖò yakpɔ́vú mɛ̀,j'ai été baptisé tout petit
Azɔ̀n ɖokpó ɖokpó,Une fois chacun.
Xɛsi ɖi i.,Il eut peur.
Un ná xo,ɖɛ
