ligne_brute,fon,fr,raison
206,"Amɔ̌, é ɖó alɔ vǐ yětɔn lɛ́ɛ ɖěbǔ wú ǎ. É bló lě e é ɖe gbɔn ɖo Mɔyízi sín sɛ́nwéma mɛ ɔ́, ɖó Mawu Mavɔmavɔ ɖɔ dó wěma ɔ́ mɛ ɖɔ: “È nǎ hu tɔ́ ɖó vǐ tɔn nu ǎ. È nǎ hu vǐ ɖó tɔ́ tɔn nu ǎ. Mɛ e wa nǔ nyi do ɔ́ wɛ è ɖǒ nǎ hu, ɖó nǔ e é wa ɔ́ nu.”",25.4,artefact
207,e to nyi nugbo wɛ hun,est,trop_court
217,E nyɔ din,C’est magnifique,trop_court
219,blŏ cíì,grésiller,trop_court
223,e ɖú mì ă,qu'est,trop_court
226,Sezar yi gbe ɖɔ,César répondit.,trop_court
227,Un ɖò amlɔgɔ́ sa wɛ̀,Je m’endors.,trop_court
228,Atín e ɖó xwè kanweko é,Arbre centenaire,trop_court
230,klosέvɔ̀,fleur de nété,trop_court
230,klwesávɔ̀,fleur de nété,trop_court
249,nă ajɔ̀ mε,récompenser quelqu'un,trop_court
264,ago mǎ ɖu we,laisse,trop_court
266,xɔntɔn,amis,trop_court
268,E yi wan nu we,Il t’aime.,trop_court
282,abɔ̀jí,épaule,trop_court
282,abɔ̀tá,épaule,trop_court
282,abɔ̀xú,épaule,trop_court
286,e jì vĭ ganjí à,l'accouchement s'est,trop_court
291,"È kplá axɔ́ví Joasi wá, lobo zé tablá ɖokpó kpó sɛ́nwéma ɔ́ kpó jó n'i, bɔ Yexoyada kpó vǐ tɔn lɛ́ɛ kpó kɔn ami ɖó ta n'i, bó sɔ́ ɛ axɔ́sú, bó jɛ xó sú jí ɖɔ: “Susu nú axɔ́sú ɔ́!”",23.11,artefact
293,E sù kú ă,De rien.,trop_court
296,nu fín,la bouche où le cure,trop_court
298,zàn kézè,jour et nuit,trop_court
311,kpɔ́wùn εnὲ,cent francs,trop_court
314,Un yì cyán nùywɛ́ywɛ́,Je suis allé chercher du bois (Pour un jumeau ou la mère d'un jumeau).,definition
315,Un ná ɖò kpikpɔ́n wɛ̀,Je verrai.,trop_court
319,Wă dĕ,Viens par ici.,trop_court
321,Mɛɖe wá,Quelqu'un est venu.,trop_court
323,akwɛnɔ,riche,trop_court
324,azizɔlì,cheminée,trop_court
331,ɖì gŭ,hériter,trop_court
331,ɖì xì,hériter,trop_court
332,daá nyɔ̆nù,tante paternelle,trop_court
332,daánù,tante paternelle,trop_court
332,daányɔ̆nù,tante paternelle,trop_court
332,tɔ́ noví,tante paternelle,trop_court
333,agban jɛgijɛgi tɛ́ ɖíè,qu'est,trop_court
335,azɔ̀n mɔ̀kpán,plusieurs fois,trop_court
339,xεvi ɔ ɖo kpεn kun wε,l'oiseau siffle,trop_court
340,Hwevɔ gbɛ,Le soleil est chaud.,trop_court
341,xɔ̀ akpà,être blessé pour un guerrier,trop_court
343,gangbá,boîte,trop_court
343,gbă,boîte,trop_court
355,blŭjù,en entier,trop_court
355,bŭtè,en entier,trop_court
357,bε̆,rassembler les cheveux en un ou plusieurs faisceaux au sommet de la tête,trop_court
357,bε̆ ɖà,rassembler les cheveux en un ou plusieurs faisceaux au sommet de la tête,trop_court
361,nyì wĕ,jouer aux cartes,trop_court
363,E kpo,Il est vieux.,trop_court
369,blă wŭ,maigrir,trop_court
369,fò yɛ̀,maigrir,trop_court
369,xú gŏ,maigrir,trop_court
372,amisin,morve,trop_court
378,E fá,C’est facile.,trop_court
382,Ku d’azɔ,Bon travail,trop_court
386,éɖo avi ya wε,elle pleure,trop_court
391,azànɖíɖó,délai,trop_court
393,Mì ɖòɖónɔ̀,Nous seuls.,trop_court
396,cakpálò,bière de mil,trop_court
396,dóló,bière de mil,trop_court
396,lihàn,bière de mil,trop_court
398,fɔ́,nouveau,trop_court
398,fέ,nouveau,trop_court
398,yaɖéyaɖé,nouveau,trop_court
398,yɔ̀yɔ́,nouveau,trop_court
402,azɔxɔ,bâtiment de travail,trop_court
404,e lin,il y a longtemps,trop_court
406,"Abáhwɛ̀, abɔ́hwɛ̀",Cicatrice de la vaccination,trop_court
410,aglŏbèsé,grenouille,trop_court
412,Sín tɛgbɛ ɔ́,Depuis longtemps.,trop_court
414,năna,grand-mère,trop_court
414,nayé,grand-mère,trop_court
414,nɔgbó,grand-mère,trop_court
416,nù cí mɔ̆,c'est ainsi,trop_court
424,Un ɖ’álɔ ká wú,Je mets la main sur la calebasse (Formule de politesse lorsqu’on quitte le repas avant la fin. On heurte légèrement la calebasse ou l’assiette avec les noeuds de la main).,ratio
427,alŏ,ou bien,trop_court
429,lὲ kɔ́,se laver avec de la terre,trop_court
436,kpodo xomɛsinsin kpo,en colère,trop_court
439,"ɖe, ɖokpo",1,artefact
445,blŏ fó,mal faire,trop_court
445,blŏ gbɔ̀,mal faire,trop_court
445,gĕ,mal faire,trop_court
449,ciɖaciɖà,nervosité,trop_court
449,jéjé,nervosité,trop_court
449,jéjéjé,nervosité,trop_court
451,"Jeluzalɛ́mu wɛ Jozafáti nɔ nɔ, có é nɔ́ lɛ́ gbɔn to ɔ́ bǐ jí, sín Bɛ̌-Ceva káká yi Eflayímu sókan mɛ, bó nɔ ɖɔ nú Izlayɛ́li ví lɛ́ɛ ɖɔ yě ní lɛ́ kɔ wá Mawu Mavɔmavɔ, Mawu tɔ́gbó yětɔn lɛ́ɛ tɔn ɔ́ gɔ́n.",19.4,artefact
454,Ma ɖɔ̀ xó gaga ó,Sois bref.,trop_court
455,hwὲ,ligne,trop_court
455,xwì,ligne,trop_court
455,xwixwí,ligne,trop_court
456,aglúzasísá,porc castré,trop_court
478,- agidi,fort,trop_court
478,akowunká,fort,trop_court
478,glàglá,fort,trop_court
478,gúngúngún,fort,trop_court
478,lĭ dŏ,fort,trop_court
478,wòkógò,fort,trop_court
480,etɛ wa xwe kpodo nɔvi towe kpo,qu'est,trop_court
481,dŏ gbè,gronder (tonnerre),trop_court
483,gblĕ wŭ,se blesser,trop_court
484,Blo dεdε !,Attention !,trop_court
486,hàjíhàjí,par catégorie,trop_court
486,hànúhànú,par catégorie,trop_court
488,kpɔmasɛvi jiji,originaire de kpomassè,trop_court
489,Mi yi wan nu we,Nous t'aimons,trop_court
492,e nà xwédó xó tɔ́n lɛ́ wɛ́ à,va,trop_court
501,e ɖɔ,a toi plutôt les remerciements réplique l'autre,trop_court
504,vesti wiwi,une veste noire,trop_court
505,mlă zàn,enrouler une natte,trop_court
507,jὲ xá mε,mériter,trop_court
508,fina a sii ɖɔ fi e a gosin ɔ nú mi a,fina pourrais,trop_court
525,sɛ́ ɖɛ̀ wú wɛ̀,grâce à la bénédiction de la providence nous avons échappé à tel malheur ou réussi telle entreprise,definition
526,Gba vɔtɔ,Boîte vide.,trop_court
528,ayiɖòwɛ̀nnánɔ́ wɛ̀,c'est un homme honnête,trop_court
548,zùn sìn,devenir liquide,trop_court
549,É má nyí.,Sauf si.,trop_court
559,Wă mì ní yì,Allons-y.,trop_court
561,gblĕ,être périmé,trop_court
561,sá,être périmé,trop_court
561,vɔ̀,être périmé,trop_court
562,atoke ɔ kε awa ɖo jɔhɔn mε,la chauve,trop_court
567,aglà,chien,trop_court
567,avŭn,chien,trop_court
567,cukú,chien,trop_court
569,Mi nú mi na ɖu nǔ,Mangeons.,trop_court
572,nukiko,léger sourire,trop_court
576,Gban nukun tantɔn,38,artefact
592,e fyɔ́n,elle a pressé,trop_court
597,dódó,fermement,trop_court
597,jangbaàn,fermement,trop_court
597,jangbanjangbàn,fermement,trop_court
606,sè gbè,obéir,trop_court
606,sè tó nŭ,obéir,trop_court
606,sè tónú,obéir,trop_court
608,ohĭn,c'est bien,trop_court
609,nă sɛ́núnywɛ́ é nɔ́ xlɛ́ gbɛ'li mɛ é mĭ,donne,trop_court
615,"Agɔgɔ́, agɔgwé","Crochet, bâton recourbé",trop_court
619,azwì,lièvre,trop_court
620,yi a wɛ a,est,trop_court
622,a na nɔ̀ fínɛ́ káká b'ɛ́ ná fó à,resteras,trop_court
626,e xɔ'kwέ,c'est cher,trop_court
629,vivɔ,final,trop_court
629,vuvɔ,final,trop_court
635,Jì hwénú,La saison des pluies.,trop_court
641,Amlɔgɔ́ ɖo sinsin mi wɛ̀,Je m’endors.,trop_court
645,Un kó wá,Me voici.,trop_court
646,nyɔ hɛn,sache bien l'entretenir,trop_court
647,Vĭ ɖaxó,Le fils aîné.,trop_court
648,εεn ?,Ah bon ?,trop_court
661,gbadé fló,enveloppe de l'épi de maïs,trop_court
663,afɔklέnnú,obstacle,trop_court
663,nùjέnŭmε,obstacle,trop_court
665,mi dlɛ̆n,allongez,trop_court
668,Mi xwixwe,Restez tranquilles.,trop_court
674,ahwanfunfun,guerre,trop_court
677,xwlé,jurer,trop_court
677,xwlé aɖĭ,jurer,trop_court
683,gbeɖé !,pas du tout !,trop_court
689,sɔ hwɛ mitɔn lɛ sɔ kɛ mi,pardonne,trop_court
692,nɔcenɔvinyɔnu kpɛvi,ma tante maternelle plus jeune que ma mère,trop_court
696,kpɔ́n,voir,trop_court
696,mɔ̀,voir,trop_court
698,àcɔ́vɔ̀,beau pagne,trop_court
698,toxòzĭn,beau pagne,trop_court
700,ku d'akwɛ,merci pour la dépense d'argent,trop_court
701,xò dɔjɔ̀,diminuer d'intensité,trop_court
722,Awii ce lɛ,Mes chats.,trop_court
729,etɛ xɔ gbe a ja,que veux,trop_court
732,un hɛn ɔ na wa ze mɔto ce sɔ gbadanu a,est,trop_court
741,Dɔn ɛ do do,Abaisse-le,trop_court
742,Tɔ́ hɛ̌nnù,Famille paternelle,trop_court
755,nukúnmὲ,figure,trop_court
755,xlɛɛ́,figure,trop_court
759,si ɖevo ɖo e ye a ye,t,trop_court
761,e kpɔn,elle a regardé,trop_court
771,Ayiɖòwɛ̀nnánɔ́ wɛ̀,C'est un homme honnête.,trop_court
777,nylă kún,être de mauvaise race,trop_court
785,kanwe watɔn,93,artefact
789,kùn hŭn,pagayer,trop_court
789,kùn tɔjihún,pagayer,trop_court
789,kùn zɛ̀n,pagayer,trop_court
796,Awii wiwi,Chat noir.,trop_court
803,atíntanu,la souche,trop_court
804,Ɖo azɔmɛ ɔ,A l’école.,trop_court
812,"Axɔ́sú ɔ́ nɔ te ɖo tɛn tɔn mɛ, ɖo Mawu Mavɔmavɔ nukɔn, bó jɛ akɔ xá Mawu Mavɔmavɔ; mɛ ɖokpó ɖokpó ɖó ná zin alɔ dó akɔ́n ɖɔ émí ná nɔ gbejí nú Mawu Mavɔmavɔ, lobo ná nɔ́ wa nǔ e é zɔ́n lɛ́ɛ, bó ná nɔ nyi sɛ́n tɔn lɛ́ɛ kpó ayi émítɔn bǐ kpó. Émí ná wa nǔ gbɔn mɔ̌, dó nɔ gbejí nú xó e ɖo akɔjijɛwéma élɔ́ mɛ lɛ́ɛ é.",34.31,artefact
817,koklojonɔ,jaune,trop_court
823,Nă kan n'í,Remonte-la.,trop_court
824,ɖŏ tó,entendre,trop_court
824,sè,entendre,trop_court
824,sè xó,entendre,trop_court
827,aháan,exprime la surprise satisfaite,trop_court
828,aɖìká,boîte à savon,trop_court
849,Kpé n’í,Va avec lui.,trop_court
851,a ma mɔ din à,as,trop_court
852,hwetɛ́nu mi ná wà nŭ,quand allez,trop_court
857,nɛ̆ nyì tɔ́n nyí,comment s'appelle-t-il,trop_court
860,avĭ,larmes,trop_court
860,ɖasìn,larmes,trop_court
871,Ala bibɔ,Une branche flexible,trop_court
873,mɛ yétɔn lɛ,leurs familles,trop_court
875,jĭ wŭ,la pluie menace,trop_court
901,nu un nu azɔ ɔ e na do tagba nu mi wɛ a,est,trop_court
906,mí nù,nous avons bu du,trop_court
908,Un kú winnyá,J'ai honte.,trop_court
913,hὲn mε nu,calomnier quelqu'un,trop_court
913,kpà xó ɖɔ̀ dŏ mɛ wŭ,calomnier quelqu'un,trop_court
914,kpɔn ye,regarde-les eux ou elles,trop_court
920,tokpá,les environs d'une localité,trop_court
924,"Ée Yaxaziɛ́li ɖɔ mɔ̌ ɔ́, Jozafáti xwe agbɔ̌nnusú do, bɔ Jeluzalɛ́munu lɛ́ɛ bǐ kpó Judáanu ɖě lɛ́ɛ bǐ kpó jɛ kpo bó ɖe kɔ́ nú Mawu Mavɔmavɔ, lobo sɛn ɛ.",20.18,artefact
932,akpádídó,formulation de voeux,trop_court
936,Amu sú,Il y a beaucoup de rosée.,trop_court
953,ɖò gbɛ̀ dĕ,ici,trop_court
957,alŏ... alŏ,ou... ou,trop_court
962,dŏ dă,être malfaisant,trop_court
962,wà alànnŭ,être malfaisant,trop_court
963,dà gă,tirer une flèche,trop_court
965,Balance gudo tɔn,Solde final,trop_court
967,wèmàxɔ́mὲ dokɔ tɔ̀n,école primaire,trop_court
970,xwé gŭdo,derrière la maison,trop_court
984,egbé,aujourd'hui,trop_court
987,kpon ta ni,regarde,trop_court
995,Gbɛmɛ fá,Le temps s'est rafraîchi.,trop_court
1004,akɔn wɛ un ɖè,j'étais sur les genoux j'étais tout petit dans mon enfance,definition
1005,ɖì wùn,sauter aux yeux,trop_court
1017,"Eo, nugbo","Non, vraiment.",trop_court
1018,aklunɔzangbe,le dimanche,trop_court
1019,Mɛ ɖè lɛ́,Les autres.,trop_court
1029,ɖì zɔ̀n,marcher,trop_court
1029,ɖì zɔnlìn,marcher,trop_court
1029,zɔ̀n,marcher,trop_court
1029,zùn zɔnlìn,marcher,trop_court
1036,xɔntɔn,amies,trop_court
1037,jὲ àcɔ,être joli,trop_court
1037,nyɔ̆ kún,être joli,trop_court
1042,akwete,petit escargot,trop_court
1045,káká fí tɛ́ a na yì,jusqu'où iras-tu,trop_court
1047,azan ɖagbe,bonnes journées,trop_court
1060,ahizì,manœuvre,trop_court
1070,alɔbá,empan,trop_court
1070,bă,empan,trop_court
1086,ayisɔnmɔ,la fois passée,trop_court
1088,"Xwe ko-nukún-atɔn wɛ Yoakázi ɖó bó yi zinkpo jí ɖo Jeluzalɛ́mu, bó ɖu axɔ́sú nú sun atɔn.",36.2,artefact
1095,xwe kpíkpé,le jour de l'an,trop_court
1099,jò mí dó xwíí,laisse,trop_court
1104,Ɖò lɔ̀n dɔ̆n,Dans l'au-delà.,trop_court
1108,kú dó lè hwénu,bon après,trop_court
1114,jὲ aglăjà,faire la forte tête,trop_court
1117,daagbo ɖo azɔkwε nu wε,grand,trop_court
1127,cukú yakpá,chienne qui a déjà mis bas,trop_court
1134,È ko ɖexlɛ́ ɖɔ è sɛ́ nǔ ɔ dó.,Commande confirmée.,trop_court
1136,"Hwenu e Asa ɖo xwe gbantɔ́n-nukún-ɛnɛ (39) bló wɛ ɖo axɔ́súzinkpo jí ɔ́, azɔn baɖabaɖa ɖé wá hɛn afɔ tɔn. É wlí azɔn mɔ̌ có, é sɛn Mawu Mavɔmavɔ ǎ, azɔngblétɔ́ lɛ́ɛ wɛ é yi mɔ.",16.12,artefact
1154,àcɔ́,parure,trop_court
1154,àcɔ́bánú,parure,trop_court
1154,acɔ́ɖónú,parure,trop_court
1154,àcɔ́nú,parure,trop_court
1154,aɖawùnɖíɖó,parure,trop_court
1154,vivanú,parure,trop_court
1156,N'í nɔ̀ mɔ̆ !,Assez !,trop_court
1158,"Énɛ́ ɔ́ gúdo ɔ́, axɔ́sú Ezekiyási kpó azaglɔ́gán tɔn lɛ́ɛ kpó ɖɔ nú Levíi ví lɛ́ɛ ɖɔ yě ní lɛ́ ji han e Davídi kpó nǔmɔtɔ́ Asáfu kpó kpa lɛ́ɛ dó sɔ́ Mawu Mavɔmavɔ su. Bɔ yě ji han ɔ́ kpó awǎjijɛ kpó dó kpa susu nú Mawu Mavɔmavɔ, lobo jɛ kpo bo ɖe kɔ́.",29.30,artefact
1162,Mi kú dó Natáa xwè,Joyeux noël.,trop_court
1166,nukɔn,front,trop_court
1171,lε̆ ɖɔ̀,répéter,trop_court
1171,lε̆ vɔ̆ ɖɔ̀,répéter,trop_court
1173,béwún,être fragile,trop_court
1173,fέɖε,être fragile,trop_court
1173,kpécé,être fragile,trop_court
1176,avɔlinlɔn,tricotage,trop_court
1182,adăn,colère,trop_court
1183,hwɛ̆ wɛ̀,c'est provisoire,trop_court
1190,E nyɔ a,Absurde,trop_court
1192,nyìnyέ abɔ̆,lever les épaules dédaigneusement,trop_court
1195,winnyá hú mì,j'ai honte,trop_court
1196,Mi kpɔn,Vous avez regardé.,trop_court
1197,do syɛnsyɛn,un mur solide,trop_court
1205,kpódó hlɔ̀nhlɔ́n kpán,par violence,trop_court
1219,ɖè mε,dessiner quelqu'un,trop_court
1224,ké,ah,trop_court
1225,fɔ̀ tó,ourler,trop_court
1225,xò tó,ourler,trop_court
1226,é nyɔ́ hú,c'est mieux,trop_court
1230,Akwɛ e è nɔ sú dó xɔ nǔ é,Coût d’acquisition,trop_court
1231,jlε̆ avɔ̀,mesurer l'étoffe,trop_court
1240,vivɛna ce,mon aimé,trop_court
1244,dà dɔ̆nkpὲ,inviter les jeunes gens à faire ensemble et gratuitement le travail de l'un d'eux,trop_court
1251,gbìgblé,gâté,trop_court
1251,gblègblé,gâté,trop_court
1251,nyinyɔ,gâté,trop_court
1251,nyunyɔ,gâté,trop_court
1251,tló,gâté,trop_court
1253,vɔ̀sá kɔ́fò,calice de messe,trop_court
1254,ɖɔ̀ xomὲ,parler selon son coeur,trop_court
1261,gbà gò,enfanter,trop_court
1261,jì,enfanter,trop_court
1261,jì vĭ,enfanter,trop_court
1266,Xεvi kpεvi ɔ,Le moineau,trop_court
1282,ta kóɖókóɖó,petite tête,trop_court
1284,Un na blo,Je ferai,trop_court
1289,Ɖo tlolo mɛ ɔ,A l'instant.,trop_court
1290,Nu ɖevo,Autre chose.,trop_court
1291,dà gbɔ̀,tirer et manquer le but,trop_court
1307,E yi zaande,A bientôt,trop_court
1311,xò nùkán,désherber,trop_court
1313,wà ayɔ̆,faire l'acte sexuel,trop_court
1322,cì,fatiguer,trop_court
1322,cì kɔ̀ nú mε,fatiguer,trop_court
1331,e hwɛ́n wăn nyanya,ça pue,trop_court
1332,bε̆ wezùn,ramasser,trop_court
1332,cyán kplé,ramasser,trop_court
1332,kplé,ramasser,trop_court
1332,wŭn,ramasser,trop_court
1332,xò kplé,ramasser,trop_court
1337,zὲ nùtítí,ouvrir un abcès,trop_court
1340,zìngbídì,bruit,trop_court
1340,zìngídì,bruit,trop_court
1345,nε̆,organe génital masculin,trop_court
1345,nε̆kàn,organe génital masculin,trop_court
1345,nὲkwín,organe génital masculin,trop_court
1346,Axɔ́sú Joziyási ylɔ́ tomɛxó Judáa tɔn lɛ́ɛ bǐ kpó Jeluzalɛ́mu tɔn lɛ́ɛ bǐ kpó kplé.,34.29,artefact
1350,un ɖi nu nà,j'apprécie,trop_court
1353,gajaà,en hauteur,trop_court
1353,gajagajà,en hauteur,trop_court
1358,gbè lílélílé,voix très fine,trop_court
1368,biɔ wui ɖémεn,ressaisis,trop_court
1372,jɔ̀nú,insecticide contre les poux ou contre les puces,trop_court
1372,jɔ̀tínkέn,insecticide contre les poux ou contre les puces,trop_court
1379,Akwɛ e è nɔ sú dó sɛ́ nǔ dó mɛ é,Frais d’expédition,trop_court
1380,tchin é maché,ça marche,trop_court
1382,mi bɔ miɖéé,rapprochez-vous,trop_court
1385,É ɖò gbŏke nu wɛ̀,Il fume.,trop_court
1396,aklààn,singe jaune,trop_court
1396,klààn,singe jaune,trop_court
1398,mɛ wá yì,qu'on entre,trop_court
1404,Nǔ cikɔ nú mì dín.,Trop fatigué.,trop_court
1406,e ɖo dandan mε bɔ e ɖo na mε à,est,trop_court
1418,gbeɖé,absolument pas,trop_court
1420,aglàn,mâchoire,trop_court
1422,etɛ́ ká jɔ̀,qu'est,trop_court
1423,hwε lo,et toi,trop_court
1433,Awii towe lɛ,Tes chats.,trop_court
1456,lìlɔ́,cassure,trop_court
1456,lùlɔ́,cassure,trop_court
1463,sέwé,haricot violet aux fleurs blanches,trop_court
1463,sέwékún,haricot violet aux fleurs blanches,trop_court
1469,lɛ̀ xóglé,raconter une histoire dans tous ses détails,trop_court
1470,zò hεhε,feu ardent,trop_court
1471,é fɛ́n agŭn ì,il l'a éreinté se dit aussi d'un homme adulte qui a violé une jeune fille,definition
1477,klazín myɔgbέn,lampe à pétrole,trop_court
1481,nɛ mi ɖe gbɔn,comment allez-vous,trop_court
1482,yozo,chaleur,trop_court
1494,Jɛ awa,Sois heureux.,trop_court
1505,gǎn bi ɔ,patron,trop_court
1506,Gleta wε,C’est un village,trop_court
1508,Kú d’ázɔ̆,Salut à celui qui travaille.,trop_court
1509,a mɔ ɖó mɔ̆ à,t'es,trop_court
1510,adŭn,saleté,trop_court
1521,Ɖó é te nú mì,Dis-lui d’arrêter.,trop_court
1531,"Asilíi xɔ́sú Tiglati-Pilesɛ́ɛ wá gɔ́ alɔ nú Akázi ǎ; lo ɔ́, é sɔ́ ɛ dó ɖó kɛntɔ́, lobo tɔ́n ahwan ɛ.",28.20,artefact
1541,mawu ce,mon dieu,trop_court
1544,nù vodúnsìn,boire l’eau du vaudoun,trop_court
1548,a yí gbè,tu acceptes,trop_court
1549,kú dó gbe ɖé,merci pour la fois passée il y a un certain temps,definition
1554,ɖo ali ji,en chemin,trop_court
1564,nabi e nɔ su,combien paie,trop_court
1565,mɔ̆to nusú,bouchon de réservoir de voiture,trop_court
1566,dŏ gŏ,faire un noeud,trop_court
1566,nyì gŏ,faire un noeud,trop_court
1574,kpò zɔ̀n,refuser de marcher en ralentissant volontairement,trop_court
1576,Ye yi wan nu we,Ils t’aiment.,trop_court
1585,ablé lɔ̆nlɔ̆n,ah que c'est beau,trop_court
1599,jὲ kú,s'obstiner,trop_court
1599,xwè nŭ,s'obstiner,trop_court
1609,"Yɔ́kpɔ́vú, yɔ́kpɔ́ví",Enfant garçon ou fille,trop_court
1615,towe wɛ̀,c'est à toi,trop_court
1616,ɖ'ayi xoxo ɔ,autrefois,trop_court
1623,ani a na sɔ́ nɛ́ ɔ́ dó bló ná,qu'est,trop_court
1624,"Amasiyasi kanbyɔ́ ɖɛ̌mɛnu Mawu tɔn ɔ́ ɖɔ: “Nɛ̌ kpatágan tobutóbú e un sú sɔ́ja énɛ́ lɛ́ɛ ka ná nyí gbɔn?” Bɔ ɖɛ̌mɛnu Mawu tɔn ɔ́ yí gbe n'i ɖɔ: “Mawu Mavɔmavɔ hɛn ɔ́, é ná ná ée hú mɔ̌ ɔ́ we.”",25.9,artefact
1633,xúxú kpɛ́,battre des mains pour appeler,trop_court
1650,hɛ̀n xó ɔ́ syɛ́nsyɛ́n,tiens bon,trop_court
1660,gbedidó,salutation,trop_court
1660,gbedómε,salutation,trop_court
1660,gbedudó,salutation,trop_court
1667,àkwέjɔ́yítɔ́,quêteur,trop_court
1667,nùjɔ́yítɔ́,quêteur,trop_court
1670,kanwe atɔɔn nukun we,87,artefact
1674,"Énɛ́ ɔ́ gúdo ɔ́, Judáa xɔ́sú Jozafáti dó Izlayɛ́li xɔ́sú Akaziasi sín gbɛ̌. Axɔ́sú énɛ́ ɔ́ ka nɔ́ zán gbɛ ɖagbe ǎ.",20.35,artefact
1678,é hwɛ́n tó cè,c'est amusant,trop_court
1679,Mi yá wǔ wá.,Viens vite.,trop_court
1681,ahanmúmɛ,enivrement,trop_court
1685,nɛgbéxu,colonne vertébrale,trop_court
1690,"Bɔ Mawu Mavɔmavɔ ɖɔ: ‘Mɛ̌ ká ná blɛ́ Akábu axɔ́sú Izlayɛ́li tɔn ɔ́, bɔ é ná yi tɔ́n ahwan Hlamɔti toxo ɔ́ ɖo Galadi yíkúngban jí, bó ná kú?’ Bɔ yě ɖɔ yětɔn yětɔn.",18.19,artefact
1695,Ye ɖo su xo wè.,Ils manifestent,trop_court
1698,dŏ mέlὲ,voyager en bateau,trop_court
1698,dŏ xujihún,voyager en bateau,trop_court
1701,hwĕ wèmá tówé nú mì,prête,trop_court
1706,d’ágbà,être grand,trop_court
1706,ɖì gà,être grand,trop_court
1706,dŏ ăgbà,être grand,trop_court
1706,s'avɔ̀,être grand,trop_court
1706,sɔ́ avɔ̀,être grand,trop_court
1706,wà ɖaxó,être grand,trop_court
1714,"Mi ná kpɔ́n xwédo e mɛ mɛ ɖokpó ɖokpó gosín é, bó ná kpɔ́n azɔ̌ e mɛ ɖokpó ɖokpó nɔ́ wá ɔ́, bó ná kplé miɖée gbɛ̌ta gbɛ̌ta, lě e axɔ́sú Izlayɛ́li tɔn Davídi kpó vǐ tɔn Salomɔ́ɔ kpó wlán gbɔn é.",35.4,artefact
1716,Xεvi ɔ ɖo kpεn kun wε,L’oiseau siffle.,trop_court
1719,wunkpɛnnú wɛ̀,c'est honteux,trop_court
1729,blibɔ̀,fantôme,trop_court
1729,kalétà,fantôme,trop_court
1737,fúnfún nùkùn,semer le grain à la volée,trop_court
1747,mε kpíkpé,rencontre entre deux personnes,trop_court
1751,Xɔ̀ Danxomɛ̀,C’était l’expression consacrée pour signifier devenir roi du Dahomey.,trop_court
1753,ɖù gò,faire danser l'escargot sur le revers de la main,trop_court
1756,gbà kpé,dans tout le pays,trop_court
1758,Nǔ e gbé nya wɛ è ɖè lɛ é.,Objectifs atteints.,trop_court
1760,ésyεn,est fort,trop_court
1767,gbò atín,abattre un arbre,trop_court
