fon|fr|sentiment_final
Un mɔ ɖɔ un ɖò ganji bɔ hlɔnhlɔn gɔ́ ayi mɛ nú mì égbé.|Je me sens incroyablement bien et plein d'énergie aujourd'hui.|2
E ɖi ga nu mεtlu ko.|Il est long de vingt mètres|0
E nɔ ɖi zɔnlin dεdε kpodo kpogε tɔn kpo.|Il marchait lentement appuyé sur son bâton|0
Nǔ taji e è nɔ zán dó jlɛ́ lee tɛn ɛntɛnɛti tɔn e jí è nɔ sà nǔ ɖè é ɖé nɔ w’azɔ̌ gbɔn é, bo nɔ lɛ́ tuùn nǔ e nɔ ɖó dogbó nú nǔxixa lɛ é é wɛ nyí lee è nɔ huzu mɛ gbɔn é.|Le taux de conversion est un indicateur clé pour mesurer l’efficacité d’un site marchand et identifier les freins à l’achat.|0
nyɛ nɔ w'azɔ́ ɖo posu|moi je travaille à la poste|0
xwegbe|maison|0
Un jló ná ɖyɔ nǔ élɔ́, kɛnklɛ́n.|Je voudrais échanger ce produit, s’il vous plaît.|0
É víví nú mì ɖɔ un lɛ́ mɔ we.|Je suis content de te revoir.|2
un sìxú kpɔ́n mɛ́ nú wè ă|je ne peux rien pour toi|1
a ná sìxú wá kpɔ́n tɛn mɛ nú mí ɖò kplé ɔ́ mɛ́ à|pourras|0
A nǎ sixú sɔ́ nǔ i káká bɔ é ná tɔ́n a? Hwǎn e è nɔ dó wlí hweví ɔ́, a nǎ sixú nɔ zě sɔ́ ta tɔn káká bɔ é ná xo zlɛ́ a?|Couvriras-tu sa peau de dards, Et sa tête de harpons ?|0
A na ba wemasunsunnu ɔ bo na mɔ.|Tu cherches la gomme et tu la trouves|2
e vò sɔ̀ mɔ̆ ă|elle ne sont pas tellement à l'aise|1
awě ɖěbǔ ná xo we ǎ, nǔ nyanya ɖěbǔ ná sɛkpɔ́ goxɔ towe ǎ,|Aucun malheur ne t’arrivera, aucun fléau n’approchera de ta tente.|2
Măwù nà cɔ́ wè|Dieu veillera sur toi.|2
Yě gosín Mala bo wá Elimu. Tɔjɔtɛn wěwe kpó dětín kanɖé gban (70) kpó wɛ ɖo Elimu fínɛ́; fínɛ́ wɛ yě ɖó gɔnu ɖó.|Ils partirent de Mara, et arrivèrent à Élim; il y avait à Élim douze sources d'eau et soixante-dix palmiers : ce fut là qu'ils campèrent.|0
Dò ɔ́ mù|Le mur s'est écroulé.|1
So ny’àwăn|Il tonne.|0
Un gbɛ́ hà tówé bĭ|Je refuse complètement ta compagnie.|1
Ée Izáki ka ɖo to ɔ́ mɛ bɔ é lín ɔ́, é wá ɖo ayihún da xá asi tɔn wɛ gbe ɖokpó, bɔ axɔ́sú Filisitɛ́ɛn lɛ́ɛ tɔn Abimɛlɛ́ki mɔ ɛ gbɔn flɛtɛ́li nu.|Comme son séjour se prolongeait, il arriva qu'Abimélec, roi des Philistins, regardant par la fenêtre, vit Isaac qui plaisantait avec Rebecca, sa femme.|0
sùn ɖì hwlĕ|la lune est très brillante|0
Agbaza yetɔn nɔ fɛɖɛ|Leur corps est frêle.|0
Hwenu e a ɖò zɔ é ɔ, mɛɖé ylɔ we azɔn mɔkpan, amɔ̌, mɛ ɔ nɔ ɖó alokan ɔ te hweɖebǔnu, bo nɔ jó wɛn ɖé dó ǎ.|Pendant que tu étais absent, quelqu'un a téléphoné à plusieurs reprises, mais la personne a raccroché chaque fois sans laisser le moindre message.|1
Bo un gbo do hun yi azomε.|Alors je suis allée à l'école en bus.|0
zàntá ɖò ɖuɖu mi wɛ̀|j'ai le mal de tête de la nuit|1
Gbɔjɛ syɛnsyɛn bo na dó fá xomɛ.|Respire profondément pour te calmer.|0
É gbà gŏ cè, bɔ̀ un byɔ́ xɔ ɔ é ɔ́, é húzú mɛglɛnzín|Il a cassé mon ampoule et quand je suis rentré dans la maison, il se présentait comme innocent dans l’affaire.|1
Xá gbɔ̀n fí|Tourne par ici.|0
agɔntín|rônier|0
E jɛ̀ kú ɖɔ̀ émí ná yí jɛ́n wɛ̀|Il s'entête à vouloir partir.|1
Avɔ e è nǎ dó ɖó kɔ́xota ɔ́ sín gblǒ jí, ɖo goxɔ ɔ́ sín gbadahwe jí ɔ́ sín ga ná nyí mɛ̌tlu koatɔ́n (25). Dotín wǒ wú wɛ è nǎ sin avɔ ɔ́ dó, bɔ dotín ɖokpó ɖokpó ná jínjɔ́n afɔ ɖokpó ɖokpó jí. Klɔcée lɛ́ɛ kpó gankpo lɛ́ɛ kpó ɔ́, kpatágan wɛ è dǒ bló yě.|Du côté de l'occident, il y aura pour la largeur du parvis cinquante coudées de toiles, avec dix colonnes et leurs dix bases.|0
Ɖɔla wewe lo ?|Et soixante Francs (cinq x douze) ?|0
Nǔ ɖěbǔ e a ɖɔ ɔ́, un ná húzú gbeta ce ǎ.|Quoi que tu dises, je ne changerai pas d’avis.|1
Nyɔnu ɖokpo kpodo vi enɛ|Une femme et quatre enfants.|0
É ní wá!|Qu’il vienne !|0
Ayǐkúngban kɛ nu bo mi yě kpó hɛ̌nnu yětɔn lɛ́ɛ kpó, kpó Kolée sín ahwan lɛ́ɛ lɔmɔ̌ kpó, kpódó dɔkun yětɔn lɛ́ɛ bǐ kpó.|La terre ouvrit sa bouche, et les engloutit, eux et leurs maisons, avec tous les gens de Koré et tous leurs biens.|2
Vǐ lɛ sín nukiko nɔ ɖi gbè ɖò kɔxota ɔ jí, bo nɔ mɛ́ bo nɔ cí kristalu ɖɔhun ɖò jǐ hwenu sín tɔsisa mɛ.|Les éclats de rire des enfants résonnent dans la cour, purs et cristallins comme une source printanière.|2
Fi tɛ nya elɔ ka gbɔn ?|Par où cet homme est-il passé ?|0
tún kàn|se délier|0
Gan dokpo adaɖe mɛ|A une heure et demi|0
sɛ cokoto towe dó agà|retrousse ton pantalon|0
Lo ɔ́, mɛ e yí wǎn nú mì bó nɔ nyi sɛ́n ce lɛ́ɛ ɔ́, un nɔ nyɔ́ xomɛ dó mɛ ɔ́ wú káká yi jijimɛ afatɔ́n.|et qui fais miséricorde jusqu'en mille générations à ceux qui m'aiment et qui gardent mes commandements.|2
Bó zé kpatágan dó bló afɔ yětɔn kanɖé (40) lɛ́ɛ ná, bó xwe we we dó xwlɛ ɖokpó ɖokpó glɔ́.|et leur quarante bases d'argent, deux bases sous chaque planche.|0
Kpɔ́n xu, é ɖo faɖaɖa xweyǐgbe, kanlin kpɛví ɖ'é mɛ, kanlin ɖaxó ɖ'é mɛ, è sixú xa yě lɔ ǎ.|Voici la grande et vaste mer : là fourmillent sans nombre des animaux petits et grands ;|0
Mɛ e ná bɛ́ nyibú ɔ́ sín afín ɔ́ ná nya avɔ tɔn lɛ́ɛ, bó ká ná nyí mɛ blíblí káká jɛ gbadanu. Sɛ́n ɖé wɛ sɛ́n énɛ́ ɔ́ nyí, bó ná ɖo te káká sɔ́yi nú Izlayɛ́li ví lɛ́ɛ kpó jǒnɔ e ɖo yě mɛ lɛ́ɛ kpó.”|Celui qui aura recueilli la cendre de la vache lavera ses vêtements, et sera impur jusqu'au soir. Ce sera une loi perpétuelle pour les enfants d'Israël et pour l'étranger en séjour au milieu d'eux.|0
ahɔn tɔn kɛ maà|sa fontanelle est largement ouverte|0
Un ná yì nùgúdo|Je vais aux cabinets.|0
Blŏ gbɔ̀n mɔ̆|Fais de même.|0
un ɖò acɛ tɔn glɔ́|je suis sous ses ordres|0
Amɔ̌, hwɛ ɔ́, nú a ba Mawu ɔ́, nú a sa vo nú Nǔbǐwúkpétɔ́ ɔ́,|Mais toi, si tu as recours à Dieu, Si tu implores le Tout Puissant ;|2
Un gɔ̀n yɛhwe gbadanu tɔn xà|J’ai omis la prière du soir.|1
Đo azɔxɔ mε ɔ, Michel nɔ nɔ xwii|En classe, Michel reste tranquille.|0
‘Mɛ élɔ́ lɛ́ɛ e gosín Ejípu lɛ́ɛ ɔ́, yě mɛ e ɖó xwe ko lɛ́ɛ kpó yě mɛ e ɖó hú mɔ̌ lɛ́ɛ kpó ɖěbǔ ná mɔ ayǐkúngban e sín akpá un dó nú Ablaxámu, Izáki, kpódó Jakɔ́bu kpó ɔ́ ǎ. Đó yě nɔ gbejí nú mì yi kpé ǎ.|Ces hommes qui sont montés d'Égypte, depuis l'âge de vingt ans et au-dessus, ne verront point le pays que j'ai juré de donner à Abraham, à Isaac et à Jacob, car ils n'ont pas suivi pleinement ma voie,|0
Akɔjijɛ akɔjijɛ tɔn.|Négociation contractuelle.|1
Ɔmúli wa nǔ e má nyɔ́ Mawu Mavɔmavɔ nukún mɛ ǎ é. Nǔ nyanya e é wa lɛ́ɛ lɛ́ nylá hú ée mɛ e ɖu axɔ́sú jɛ nukɔn n'i lɛ́ɛ bǐ wa é.|Omri fit ce qui est mal aux yeux de l'Éternel, et il agit plus mal que  tous ceux qui avaient été avant lui.|1
Un ɖù nŭ vɔ̀|J'ai fini de manger.|0
yĕ zun ì káká b'ɛ́ gbɔ̀ bo tin|ils l'insultèrent beaucoup et il laissa tomber et ne dit rien|1
agbaza mɛ tɔ́n cí kpɔ́nnɔ́kpɔ́nnɔ́|son corps est dodu|0
bà mεmε mε - bà mεmε mε wŭ|rechercher la sympathie de quelqu'un|0
ɛɛn un d'amlɔ kpɛɖe|oui j'ai un peu dormi|0
zĕ kéɖé|mesurer sans mettre la main en plus|0
nɛ gbɔn  yi|pourquoi  est-il parti|0
Un jro ɖɔ ye ni sa xwe lɔ.|Je veux qu’ils vendent la maison.|0
E sá adakpɛ́n dó xɔ̀ ɔ́|Il a peint la maison à la chaux.|0
mɛ nàhún|quelle sorte de personne|0
Mǐ yí gbè ɖɔ mǐ yí hwɛ e a ɖó é lobo ɖò azɔ̌ wà d’eji wɛ.|Nous accusons réception de votre réclamation et la traitons.|0
Sɔ́ afɔ towe bo wá kpɔ́n fí ɖěɖě è gba, bɔ é kpo ɖo mɔ̌ káká jɛ din é. Nǔ e ɖo xwé towe gbe lɛ́ɛ bǐ wɛ kɛntɔ́ hɛn gblé.|Porte tes pas vers ces lieux constamment dévastés ! L'ennemi a tout ravagé dans le sanctuaire.|1
mi ɖo hɔn ɔ su wɛ|on ferme la porte|0
É ɖɔ hwi wá ɔ́, émí ná wlí yɛ̌yi nú hwi ɖésú. Émí ná bló nǔ e hwi ná byɔ́ émí lɛ́ɛ bǐ. Hwi ní kɛnklɛ́n wá dó nu togun ɔ́ nú émí.”|car je te rendrai beaucoup d'honneurs, et je ferai tout ce que tu me diras ; viens, je te prie, maudis-moi ce peuple.|2
Ayǐkúngban e è nǎ akɔta Nɛfutali tɔn sín hɛ̌nnu lɛ́ɛ ɔ́ nɛ́. Toxo ɖaxó ɖaxó énɛ́ lɛ́ɛ kpó gletoxo e lɛ́ lɛ̌ dó yě lɛ́ɛ kpó ɖo ayǐkúngban énɛ́ ɔ́ jí. Ayǐkúngban e è nǎ akɔta Dan tɔn é|Tel fut l'héritage de la tribu des fils de Nephthali, selon leurs  familles, ces villes-là et leurs villages.|0
nɔ tɔn tɔ́n|sa mère est sortie|0
Wă akpá cè|Viens auprès de moi.|0
gbɛtɔ́ wá kpɔ́ kplɛlɛ̀|beaucoup d'hommes sont venus|0
fí - tὲn - tὲn mὲ - tεndò - tεnmὲ|endroit|0
Axɔ́sú ɔ́ sín kɔ́fu ka ɖo alɔ ce mɛ, bɔ un gbɛ vǐwun lɛ́ɛ, bó fyɔ́n yě dó kɔ́fu ɔ́ mɛ, lobo zé jó nú axɔ́sú ɔ́.”|La coupe de Pharaon était dans ma main. Je pris les raisins, je les pressai dans la coupe de Pharaon, et je mis la coupe dans la main de Pharaon.|0
Atóbɛ,̀ vĭ’sì|Belle fille|2
Un na yí wǎn nú ɖokpo elɔ.|Je voudrais celui-ci.|0
mi cɔ miɖé|attention faîtes gaffe|1
awu ce là|mon costume s'est déchiré|1
un ko ɖo nu mɔ jεn lε mε wε ganji a|je ne comprends pas encore beaucoup de mots|1
kpodo awajijɛ kpo|gaiement|2
awugbó - gbŏ|bouton d’habit|0
akpa tɔn|sa promesse|0
Un jló na tuùn linlin nugbǒ nugbǒ towe dó sinmɛ e un sɔ́ nú xɔ ce é wu.|Je voudrais connaître votre avis sincère sur la couleur que j'ai choisie pour ma chambre.|0
Aklúnɔ̀ mĭtɔn ɖu yà bó hwlɛ́n mì gán ɖ’Aklúzu jí|Notre Seigneur a souffert et nous a sauvés sur la Croix.|2
Yĕ càn kɛkɛ́|Ils se sont heurtés à vélo en se rencontrant.|1
Sa afintin nú mi|Vends-moi.|0
Enyi a nɔ sɔ́ agbazazɔ́ e nɔ hɛn agbaza towe lidǒ lɛ é dó nǔwiwa towe lɛ mɛ ɖò aklunɔzán gbla ɖokpo ɖokpo mɛ ɔ, é nɔ d’alɔ we bɔ a nɔ hɛn agbaza towe ɖó te, bo nɔ lɛ́ hɛn nǔ e ɖò agbaza towe mɛ lɛ é ɖó te.|Intégrer des exercices de renforcement musculaire dans sa routine hebdomadaire aide à préserver sa mobilité et son métabolisme.|2
