id,chemin_audio,transcription_fon,duree_sec
armandine_fongbe_corp006_041,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_041.wav,ye bi fɔn ganji,1.92
armandine_fongbe_corp006_042,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_042.wav,un ɖu nu ɖebu a,1.2
armandine_fongbe_corp006_043,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_043.wav,ye ɖo mɔɖɔ gbo wε,1.43
armandine_fongbe_corp006_044,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_044.wav,a ɖo nyε zun wε,1.15
armandine_fongbe_corp006_045,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_045.wav,gbεnu wε gbo we,1.44
armandine_fongbe_corp006_046,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_046.wav,gbɔ nu mi xwii,1.61
armandine_fongbe_corp006_047,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_047.wav,e nɔ xo su a,1.06
armandine_fongbe_corp006_048,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_048.wav,nε azɔ towe ɖe gbɔn,1.76
armandine_fongbe_corp006_049,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_049.wav,un wazɔ,0.94
armandine_fongbe_corp006_050,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_050.wav,e gɔn azɔ wa,1.14
armandine_fongbe_corp006_051,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_051.wav,e wazɔ ganji a wε a,1.78
armandine_fongbe_corp006_052,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_052.wav,e ɖazɔ wa wε myamya,2.01
armandine_fongbe_corp006_053,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_053.wav,e wu fun gbɔn fi bi,1.47
armandine_fongbe_corp006_054,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_054.wav,kan ɖe ɔ ɖi ga ɖesu,1.67
armandine_fongbe_corp006_055,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_055.wav,a ɖɔ xo gbɔ,1.29
armandine_fongbe_corp006_056,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_056.wav,e hun myɔ gaɖagaɖa,2.48
armandine_fongbe_corp006_057,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_057.wav,sin sukpɔ ɖo nusunnu ɔ ji gboo,2.58
armandine_fongbe_corp006_058,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_058.wav,a nɔ fun mε din,1.63
armandine_fongbe_corp006_059,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_059.wav,nukun ce gba zin,1.3
armandine_fongbe_corp006_060,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_060.wav,ayi tɔn bi gba do,1.48
armandine_fongbe_corp006_061,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_061.wav,un mɔ ajijakuzεn ɖokpo bε wlo eɖee bo ci gbloboetwe,6.13
armandine_fongbe_corp006_062,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_062.wav,a na sixu mɔ gbadamaja klewun ɖe ɖo finε ma ɖu a,4.01
armandine_fongbe_corp006_063,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_063.wav,gεnnu mɔ lisε glo e kε ɔ mi na kpe,3.34
armandine_fongbe_corp006_064,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_064.wav,dawe gεgε ɖe wa ba we kpo,2.1
armandine_fongbe_corp006_065,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_065.wav,asi nabi wε a ɖo,1.56
armandine_fongbe_corp006_066,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_066.wav,sin gannaganna ɔ bese wε e nɔ hu,3.01
armandine_fongbe_corp006_067,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp006_067.wav,e hu eɖee,1.68
armandine_fongbe_corp007_001,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_001.wav,e ge azɔ tɔn,1.79
armandine_fongbe_corp007_002,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_002.wav,atin ɔ nɔ dan ginnyaa,1.66
armandine_fongbe_corp007_003,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_003.wav,go ji,1.28
armandine_fongbe_corp007_004,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_004.wav,e ɖo do,1.37
armandine_fongbe_corp007_005,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_005.wav,gbεtɔ vi jεn e nɔ xo mɔ a,2.05
armandine_fongbe_corp007_006,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_006.wav,kpakpa ɔ xo awa gbagba bo yi,2.3
armandine_fongbe_corp007_007,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_007.wav,un ɖu gan ni ɖo wezun mε,2.13
armandine_fongbe_corp007_008,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_008.wav,gbεmε nyɔ,1.05
armandine_fongbe_corp007_009,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_009.wav,e vivi ɖo gbεmε,1.35
armandine_fongbe_corp007_010,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_010.wav,vi lɔ nyɔ ɖεkpε,1.25
armandine_fongbe_corp007_011,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_011.wav,e gbogbo,0.97
armandine_fongbe_corp007_012,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_012.wav,awu ce gege ɖe lε kwiji bɔ un jlo na nya,3.0
armandine_fongbe_corp007_013,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_013.wav,xo ɔ gege,1.54
armandine_fongbe_corp007_014,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_014.wav,e su kpɔ din,1.61
armandine_fongbe_corp007_015,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_015.wav,azɔ ɔ gege ɖasi ce,1.98
armandine_fongbe_corp007_016,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_016.wav,a wa nu ɖesu,1.52
armandine_fongbe_corp007_017,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_017.wav,e nɔ kpɔn nu gbɔɔn,1.59
armandine_fongbe_corp007_018,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_018.wav,un ɖo gewungewun,1.5
armandine_fongbe_corp007_019,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_019.wav,lee a wazɔ ganji ɔ a na ɖakwε gege,3.15
armandine_fongbe_corp007_020,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_020.wav,e ɖo ɖagbe a,1.03
armandine_fongbe_corp007_021,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_021.wav,e ɖo ganji,1.09
armandine_fongbe_corp007_022,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_022.wav,un ɖo ɖagbe,1.1
armandine_fongbe_corp007_023,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_023.wav,un do ɖagbe,1.57
armandine_fongbe_corp007_024,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_024.wav,e nɔ zaan ɔ un na yi,1.14
armandine_fongbe_corp007_025,C:\Users\DELL 7290\Desktop\Data\XoNet\data\audio\processed\armandine_fongbe_corp007_025.wav,e nɔ kεya nu gbεtɔ,1.81
